name,time,link,image
Nude in the Water,1925,https://www.wikiart.org/en/salvador-dali/nude-in-the-water,https://uploads4.wikiart.org/images/salvador-dali/nude-in-the-water.jpg
Pierrot Playing the Guitar,1925,https://www.wikiart.org/en/salvador-dali/pierrot-playing-the-guitar,https://uploads4.wikiart.org/images/salvador-dali/pierrot-playing-the-guitar.jpg
Port Alguer,1925,https://www.wikiart.org/en/salvador-dali/port-alguer-1,https://uploads4.wikiart.org/images/salvador-dali/port-alguer-1.jpg
Portrait of Anna  Maria,1925,https://www.wikiart.org/en/salvador-dali/portrait-of-anna-maria,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-anna-maria.jpg
Portrait of Maria Carbona,1925,https://www.wikiart.org/en/salvador-dali/portrait-of-maria-carbona,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-maria-carbona.jpg
Portrait of Maria Carbona,1925,https://www.wikiart.org/en/salvador-dali/portrait-of-maria-carbona-1,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-maria-carbona-1.jpg
Portrait of My Father,1925,https://www.wikiart.org/en/salvador-dali/portrait-of-my-father-1,https://uploads4.wikiart.org/images/salvador-dali/portrait-of-my-father-1.jpg
Seated Monk,1925,https://www.wikiart.org/en/salvador-dali/seated-monk,https://uploads4.wikiart.org/images/salvador-dali/seated-monk.jpg
Still Life,1925,https://www.wikiart.org/en/salvador-dali/still-life-8,https://uploads4.wikiart.org/images/salvador-dali/still-life-8.jpg
Still Life with Moonight,1925,https://www.wikiart.org/en/salvador-dali/still-life-with-moonight,https://uploads4.wikiart.org/images/salvador-dali/still-life-with-moonight.jpg
Study of Nude,1925,https://www.wikiart.org/en/salvador-dali/study-of-nude,https://uploads4.wikiart.org/images/salvador-dali/study-of-nude.jpg
Venus and Sailor,1925,https://www.wikiart.org/en/salvador-dali/venus-and-sailor,https://uploads4.wikiart.org/images/salvador-dali/venus-and-sailor.jpg
